countryName;CodeCountry
Antigua & Barbuda-Mobile;1268772
Antigua & Barbuda-Mobile;1268773
Antigua & Barbuda-Mobile;1268774
Antigua & Barbuda-Mobile;1268775
Antigua & Barbuda-Mobile;1268776
Antigua & Barbuda-Mobile;1268778
Antigua & Barbuda-Mobile;1268779
Antigua & Barbuda-Mobile;1268780
Antigua & Barbuda-Mobile;1268781
Antigua & Barbuda-Mobile;1268782
Antigua & Barbuda-Mobile;1268783
Antigua & Barbuda-Mobile;1268784
Antigua & Barbuda-Mobile;1268785
Antigua & Barbuda-Mobile;1268786
Antigua & Barbuda-Mobile;1268788
Antigua & Barbuda-Mobile;1268789
Antilles;599
Antilles-Curacao;59994
Antilles-Curacao;599950
Antilles-Curacao;5999720
Antilles-Curacao;5999721
Antilles-Curacao;5999722
Antilles-Curacao;599973
Antilles-Curacao;599974
Antilles-Curacao;5999763
Antilles-Curacao;5999765
Antilles-Curacao;5999766
Antilles-Curacao;5999767
Antilles-Curacao;5999777
Antilles-Curacao;59998
Antilles-Mobile;5993181
Antilles-Mobile;5993184
Antilles-Mobile;5993185
Antilles-Mobile;5993186
Antilles-Mobile;5993187
Antilles-Mobile;5994161
Antilles-Mobile;5994165
Antilles-Mobile;5994166
Antilles-Mobile;5994167
Antilles-Mobile;5994168
Antilles-Mobile;599520
Antilles-Mobile;599521
Antilles-Mobile;599522
Antilles-Mobile;599523
Antilles-Mobile;599524
Antilles-Mobile;599526
Antilles-Mobile;599527
Antilles-Mobile;599553
Antilles-Mobile;599554
Antilles-Mobile;599555
Antilles-Mobile;599556
Antilles-Mobile;599559
Antilles-Mobile;599580
Antilles-Mobile;599581
Antilles-Mobile;599586
Antilles-Mobile;599587
Antilles-Mobile;599588
Antilles-Mobile;599700
Antilles-Mobile;599701
Antilles-Mobile;59978
Antilles-Mobile;59979
Antilles-Mobile-Curacao;599951
Antilles-Mobile-Curacao;599952
Antilles-Mobile-Curacao;5999530
Antilles-Mobile-Curacao;599954
Antilles-Mobile-Curacao;599956
Antilles-Mobile-Curacao;599957
Antilles-Mobile-Curacao;599961
Antilles-Mobile-Curacao;5999630
Antilles-Mobile-Curacao;5999631
Antilles-Mobile-Ecc;599550
Antilles-Mobile-Ecc;599551
Antilles-Mobile-Ecc;599552
Antilles-Mobile-Ecc;599557
Antilles-Mobile-Ecc;599558
Antilles-St. Maarten;599525
Antilles-St. Maarten;59954
Antilles-St. Maarten;599582
Antilles-St. Maarten;599583
Antilles-St. Maarten;599589
Argentina;54
Argentina-Bahia Blanca;54291
Argentina-Buenos Aires;5411
Argentina-Cities-Group 1;54223
Argentina-Cities-Group 1;54230
Argentina-Cities-Group 1;542640
Argentina-Cities-Group 1;542641
Argentina-Cities-Group 1;542642
Argentina-Cities-Group 1;542643
Argentina-Cities-Group 1;542644
Argentina-Cities-Group 1;542645
Argentina-Cities-Group 1;542649
Argentina-Cities-Group 1;542954
Argentina-Cities-Group 1;54299
Argentina-Cities-Group 1;543320
Argentina-Cities-Group 1;543321
Argentina-Cities-Group 1;543322
Argentina-Cities-Group 1;543323
Argentina-Cities-Group 1;543324
Argentina-Cities-Group 1;543325
Argentina-Cities-Group 1;543326
Argentina-Cities-Group 1;543328
